ink,text,subj,RT
B,緑,15,400
B,緑,15,203
B,赤,15,468
G,緑,15,330
R,青,15,418
R,緑,15,528
R,緑,15,528
B,青,15,1024
G,緑,15,330
G,青,15,411
G,赤,15,532
G,赤,15,367
B,赤,15,468
R,青,15,418
R,赤,15,380
G,青,15,411
B,緑,15,400
R,赤,15,380
R,赤,15,380
B,青,15,451
B,赤,15,468
R,青,15,418
G,青,15,411
B,青,15,451
G,赤,15,532
R,緑,15,528
G,緑,15,330
B,緑,15,400
B,緑,15,400
B,赤,15,468
G,緑,15,1212
R,青,15,418
R,緑,15,528
R,緑,15,730
B,青,15,451
G,緑,15,330
G,青,15,411
G,赤,15,532
G,赤,15,373
B,赤,15,468
R,青,15,418
R,赤,15,192
G,青,15,411
B,緑,15,400
R,赤,15,380
R,赤,15,380
B,青,15,451
B,赤,15,468
R,青,15,418
G,青,15,411
B,青,15,451
G,赤,15,900
R,緑,15,528
G,緑,15,330
